filename,zero_crossing,mean_sprectral_roll_off,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
18.wav,3561.7353515625,,-3.973643192267673e-09,8.145968344308585e-09,-8.344650304081824e-09,2.38418573772492e-09,7.94728616249074e-10,-2.781550101360608e-09,0.0,-9.884437268681268e-09,-7.947286384535346e-09,-4.5696895156766e-09,0.6337534785270691,0.4924677908420563,0.3112089037895202,0.250272661447525,0.2906271517276764,0.3023332059383392,0.3154215514659881,0.3235213756561279,0.3468760251998901,0.4839547276496887,0.6201205253601074,0.6176704168319702,23.795657768053253,15.532706600538358,15.364919104162688,15.86192061585697,17.772092715753118,16.92283724821636,66.09876980353998,1.589457232498148e-09,6.357828929992593e-09,9.536742950899681e-09,-3.067155640579244e-09,1.2715657859985184e-08,-3.5762786065873797e-09,-1.5099843153620895e-08,5.165735839085528e-09,-9.536742950899681e-09,3.9736430812453705e-10
19.wav,3193.960095326835,,5.832870630939624e-09,2.3331482523758496e-08,0.0,-2.187326320068905e-09,0.0,-4.3746526401378105e-09,-5.832870630939624e-09,2.916435315469812e-09,-5.832870630939624e-09,-1.1665741261879248e-08,0.3082814514636993,0.3368931710720062,0.3678399324417114,0.3513160347938537,0.4271761476993561,0.5839447975158691,0.5247194170951843,0.4340530633926391,0.4308041334152221,0.3608752191066742,0.3428666293621063,0.3484784066677093,22.22278646652024,12.417075731896135,17.42673641736698,17.12954210722935,25.671039595361552,27.012995623427724,61.7526699924951,5.103761413494112e-09,-5.832870630939624e-09,-5.832870630939624e-09,2.916435315469812e-09,5.832870630939624e-09,0.0,-1.1665741261879248e-08,0.0,0.0,0.0
2.wav,2359.8601333049787,,1.6395546253988872e-08,1.0930365057504332e-08,-1.0930365057504332e-08,2.732591264376083e-09,5.465182528752166e-09,0.0,1.0930365057504332e-08,0.0,-2.1860730115008664e-08,5.465182528752166e-09,0.3428282737731933,0.3933880627155304,0.3203300237655639,0.2455959767103195,0.2559956610202789,0.3188988864421844,0.4060557782649994,0.2973319888114929,0.2360506504774093,0.2469384670257568,0.2417573630809784,0.2874227464199066,23.235798992296445,19.23824060427657,20.95746812947004,18.823109977888063,23.37427550306389,22.105904436959968,58.97096999934997,-6.831478160940208e-10,2.732591264376083e-09,-1.0930365057504332e-08,-5.465182528752166e-09,5.465182528752166e-09,5.465182528752166e-09,0.0,0.0,-5.465182528752166e-09,-8.197773126994434e-09
20.wav,4466.671475497159,,-2.3480618338567183e-08,-1.0046995235768465e-08,-5.418604231977042e-09,-1.3546510579942606e-09,-8.127906347965563e-09,-7.224805642636056e-09,-1.4449611285272113e-08,3.1608524686532742e-09,-1.1740309169283591e-08,1.1204092764671714e-08,0.42608842253685,0.5236427187919617,0.4686691462993622,0.439471036195755,0.4476179778575897,0.4585759341716766,0.3592226505279541,0.2988275289535522,0.4311732053756714,0.5774605870246887,0.6472257375717163,0.3993822336196899,23.227599918100243,15.244346955024785,15.921443400569578,14.217017867703593,18.07563596038712,18.496573081273908,66.9433124109966,2.709302115988521e-09,3.612402821318028e-09,2.4835269396561444e-09,4.515503526647535e-09,9.708331916158386e-09,7.6763555512116e-09,-2.709302115988521e-09,0.0,5.418604231977042e-09,2.709302115988521e-09
21.wav,1936.89453125,,3.0275375539901006e-09,0.0,0.0,0.0,1.2110150215960402e-08,6.055075107980201e-09,6.055075107980201e-09,-6.055075107980201e-09,0.0,0.0,0.5027443170547485,0.4493253529071808,0.3309515714645386,0.2668421864509582,0.2631309330463409,0.2460853159427642,0.2238464802503585,0.299575537443161,0.3748726546764374,0.4079445898532867,0.366848886013031,0.4112085103988647,20.765111749282863,17.243967667821433,18.063360403073805,16.858083425850293,21.03152069693972,26.654024839441504,57.53216602690504,-1.2110150215960402e-08,6.055075107980201e-09,1.2110150215960402e-08,0.0,1.2110150215960402e-08,6.055075107980201e-09,-1.967899443400256e-08,6.055075107980201e-09,0.0,-6.055075107980201e-09
22.wav,3594.659121673886,,-2.360579953730735e-09,-1.180289999069828e-08,-1.180289976865367e-09,1.2061088128234589e-08,5.901449884326835e-10,1.4753624988372849e-08,8.262030171124481e-09,-4.7211599074614705e-09,1.180289976865367e-09,8.262030171124481e-09,0.3302649557590484,0.3961868286132812,0.3551928102970123,0.2968544065952301,0.2695774734020233,0.2692065238952636,0.3789418041706085,0.4603497087955475,0.3533864021301269,0.2736855745315552,0.2674566507339477,0.3261758685111999,14.542306963106386,15.352677935474428,20.79697697384247,18.75285576546496,21.8218874557422,19.51619968334619,66.41059206846856,1.1065218963324241e-08,-4.370761530481104e-09,-1.6819132753198573e-08,-1.062261034689982e-08,-3.5408700416184047e-09,9.147247403973324e-09,3.5408700416184047e-09,1.2097972401647894e-08,3.8359426746126254e-09,7.081740083236809e-09
23.wav,3649.5612649356617,,-1.40246223523377e-08,3.0678861673294477e-09,4.588133428740093e-09,6.574041755413873e-09,5.25923349314894e-09,2.1913473258194927e-09,-1.1395005827807836e-08,6.1357723346588955e-09,-1.753077794042212e-09,-7.888850461768016e-09,0.3224841654300689,0.2999175488948822,0.4206471145153045,0.4989881515502929,0.6747346520423889,0.3490011096000671,0.2189454585313797,0.1603472977876663,0.1979480981826782,0.2676157057285309,0.4562436938285827,0.5615266561508179,24.17588760466265,17.369688660900877,19.5601420768642,20.212595274736213,18.690457109817444,18.35294729233513,64.99501457665804,-1.314808373287235e-09,3.506155588084425e-09,-7.2314456645017344e-09,-8.76538897021106e-10,8.76538897021106e-10,3.506155588084425e-09,7.888850461768016e-09,-5.25923349314894e-09,0.0,-4.3826944851055316e-10
24.wav,3474.920654296875,,6.8774590467057806e-09,-4.58497284583359e-09,9.16994569166718e-09,9.16994569166718e-09,-4.58497284583359e-09,0.0,4.58497284583359e-09,-9.16994569166718e-09,4.58497284583359e-09,-4.58497284583359e-09,0.4092537462711334,0.3689396679401397,0.3480815589427948,0.2915436923503876,0.2289607673883438,0.3702856302261352,0.374932587146759,0.47563636302948,0.4292678534984588,0.2986978888511657,0.3686659932136535,0.4535927772521972,21.14302743224276,16.454006667607285,16.818652712953586,17.900204482856303,22.45424783933856,22.779550955768745,58.13901547972307,0.0,0.0,9.16994569166718e-09,-1.4901161193847656e-08,0.0,4.58497284583359e-09,-9.16994569166718e-09,4.58497284583359e-09,-9.16994569166718e-09,6.8774590467057806e-09
25.wav,2364.87427763334,,-9.426764258080313e-09,-9.426764258080313e-09,0.0,-1.2569018714714277e-08,0.0,6.284509357357137e-09,6.284509357357137e-09,0.0,-9.426764258080313e-09,1.2569018714714277e-08,0.4735279381275177,0.4575295448303222,0.3780648112297058,0.2854403853416443,0.2384066432714462,0.3489376008510589,0.2684357464313507,0.3088113963603973,0.333324670791626,0.3477796912193298,0.3611030280590057,0.4027751386165619,20.22780238795428,18.739129167388366,19.42172775584558,16.3828222791177,21.812217416013,26.35528089390112,54.66429666221583,6.284509357357137e-09,3.142254678678568e-09,6.284509357357137e-09,-3.142254678678568e-09,9.426764258080313e-09,-3.142254678678568e-09,0.0,-1.2569018714714277e-08,-6.284509357357137e-09,6.284509357357137e-09
26.wav,3868.0859709439214,,2.612806326851569e-08,6.532015817128922e-09,-1.3064031634257844e-08,0.0,1.3064031634257844e-08,1.9596047451386773e-08,-9.798023725693385e-09,1.1431027679975614e-08,1.9596047451386773e-08,0.0,0.4050501585006714,0.4785980880260467,0.4525964260101318,0.3779920637607574,0.2423448115587234,0.2749291360378265,0.3633156716823578,0.3084566593170166,0.2330607771873474,0.2932479977607727,0.4433094263076782,0.4776906967163086,19.91918251566084,15.097743523960812,18.580392070623475,16.426889217560273,16.886951752361767,19.83318535742628,65.3152216625099,9.798023725693385e-09,6.532015817128922e-09,0.0,0.0,-1.9596047451386773e-08,2.041254942852788e-09,-1.6330039542822306e-09,0.0,6.532015817128922e-09,0.0
